	observableId	observableFormula	noiseFormula
0	obs_Akt	Akt_scale*Akt_wb	noiseParameter1_Akt_wb
1	obs_AktpT308	AktpT308_scale*AktpT308_wb	noiseParameter1_AktpT308_wb
2	obs_PRAS40	PRAS40_scale*PRAS40_wb	noiseParameter1_PRAS40_wb
3	obs_PRAS40pT246	PRAS40pT246_scale*PRAS40pT246_wb	noiseParameter1_PRAS40pT246_wb
4	obs_S6K	S6K_scale*S6K_wb	noiseParameter1_S6K_wb
5	obs_S6KpT389	S6KpT389_scale*S6KpT389_wb	noiseParameter1_S6KpT389_wb
6	obs_TSC2	TSC2_scale*TSC2_wb	noiseParameter1_TSC2_wb
7	obs_TSC2pT1462	TSC2pT1462_scale*TSC2pT1462_wb	noiseParameter1_TSC2pT1462_wb
8	obs_IRS1	IRS1_scale*IRS1_wb	noiseParameter1_IRS1_wb
9	obs_IRS1pS636_639	IRS1pS636_639_scale*IRS1pS636_639_wb	noiseParameter1_IRS1pS636_639_wb
10	obs_4E_BP1	FourEBP1_scale*FourEBP1_wb	noiseParameter1_FourEBP1_wb
11	obs_4E_BP1pT37_46	FourEBP1pT37_46_scale*FourEBP1pT37_46_wb	noiseParameter1_FourEBP1pT37_46_wb
