,AktpT308_wb,IRS1pS636_639_wb,S6K_wb,PRAS40_wb,TSC2_wb,PRAS40pT246_wb,FourEBP1_wb,IRS1_wb,FourEBP1pT37_46_wb,TSC2pT1462_wb,Akt_wb,S6KpT389_wb,index
0,1.1781679535100678,1.455194602991359,1.00000278592252,0.9999994223119469,0.999999582825247,12054.274694926076,0.9999975146799084,1.0000002355023638,2.5484702440898035,3.0200850548043436,1.0000014538060662,7.0958562168827175,0
1,1.1781672493306707,1.4551949486776412,1.00000278592252,0.9999994223119469,0.999999582825247,12054.112673634076,0.9999975146799084,1.0000002355023638,3.125418909575697,3.0200977904156114,1.0000014538060662,27.232187579576713,1
2,1.1781685969491775,1.4551953556268173,1.00000278592252,0.9999994223119469,0.999999582825247,12054.287964428533,0.9999975146799084,1.0000002355023638,2.6649976320458673,3.020060600736253,1.0000014538060662,8.610173974022434,2
3,1.1781661023181578,1.4552073338666918,1.00000278592252,0.9999994223119469,0.999999582825247,12054.262335738902,0.9999975146799084,1.0000002355023638,2.6470717842172085,3.0201062471691893,1.0000014538060662,8.343002093346268,3
4,1.1781678811750982,1.455194602991359,1.00000278592252,0.9999994223119469,0.999999582825247,12054.274383010254,0.9999975146799084,1.0000002355023638,2.64917408335872,3.0200935114861345,1.0000014538060662,8.380751231656268,4
5,1.1781679535100678,1.4551947919065173,1.00000278592252,0.9999994223119469,0.999999582825247,12054.274383010254,0.9999975146799084,1.0000002355023638,2.32886182545465,3.0200815429757935,1.0000014538060662,5.129614699742801,5
6,1.1781666618271265,1.455194602991359,1.00000278592252,0.9999994223119469,0.999999582825247,12054.267206918697,0.9999975146799084,1.0000002355023638,2.3483391249714756,3.0200977904156114,1.0000014538060662,5.270980159784372,6
7,1.1781679535100678,1.4551947919065173,1.00000278592252,0.9999994223119469,0.999999582825247,12054.274694926076,0.9999975146799084,1.0000002355023638,2.3997038819663126,3.0200815429757935,1.0000014538060662,5.669497537873427,7
8,1.1781679535100678,1.4551940392693032,1.00000278592252,0.9999994223119469,0.999999582825247,12054.274383010254,0.9999975146799084,1.0000002355023638,2.2672014811589483,3.020077264097976,1.0000014538060662,4.7150446321118435,8
9,1.1781628195919311,1.455194602991359,1.00000278592252,0.9999994223119469,0.999999582825247,12054.228734848331,0.9999975146799084,1.0000002355023638,2.350426077099799,3.020164214976175,1.0000014538060662,5.285982717930981,9
