,A_wb,Bp_wb,Ap_wb,B_wb,index
0,1.0,1.3911098218771965,1.6595117869812621,0.9999999999999999,0
1,1.0,1.3911098218771965,1.6595117869812621,0.9999999999999999,1
2,1.0,1.3911098218771965,1.6595117869812621,0.9999999999999999,2
3,1.0,1.3911098218771965,1.6595117869812621,0.9999999999999999,3
4,1.0,1.3911098218771965,1.6595117869812621,0.9999999999999999,4
5,1.0,1.3911098218771965,1.6595117869812621,0.9999999999999999,5
6,1.0,1.3911098218771965,1.6595117869812621,0.9999999999999999,6
7,1.0,1.3911098218771965,1.6595117869812621,0.9999999999999999,7
8,1.0,1.3911098218771965,1.6595117869812621,0.9999999999999999,8
9,1.0,1.3911098218771965,1.6595117869812621,0.9999999999999999,9
